"id","otel_ad","fiyat","imageurl","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
433,La Brezza Suıte Hotel Akyarlar,"10.920,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/09739/1050X700/tsr09739637744123920133553.jpg,"","9000-11000",Bodrum - Akyarlar ,"60 km, Milas HA ","600 - 750 Metre Arası",Özel Plaj,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
882,Mersoy Exclusive Hotel,"7.014,80 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02087/1050X700/tsr02087637751633050216963.jpg,"7,1","7000-9000",Marmaris - İçmeler ,"100 km, Dalaman HA ","100 - 200 Metre Arası",Halk Plajı,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0
580,Marmaris Beach Hotel,"9.412,00 TL",https://cdn.tatilsepeti.com/Files/TesisResim/07352/tsr07352637043203452804255.jpg,"7,9","9000-11000",Marmaris - Merkez ,"100 km, Dalaman ",Denize Sıfır,Özel Plaj,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0
723,Mono Life Hotel Çeşme,"7.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13908/1050X700/tsr13908638490536566523790.jpg,"","7000-9000",Çeşme - Çeşme Merkez ,"No Info km, No Info","750 Metre ve Üzeri","0",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,Mic Royal Hotel,"9.871,92 TL",https://cdn.tatilsepeti.com/Files/TesisResim/09051/tsr09051636880702910355711.jpg,"","9000-11000",Antalya - Konyaaltı ,"No Info km, No Info",No Info,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,Miamai Butik Otel,"45.582,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/07126/1050X700/tsr07126637468258167872540.jpg,"",+33000,Marmaris - Bozburun ,"No Info km, No Info",Denize Sıfır,Özel Plaj,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0
719,Mes Mudita Boutique Hotel,"3.200,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12391/1050X700/tsr12391637880391155459531.jpg,"",+33000,Çeşme - Çeşme Merkez ,"80 km, Adnan Menderes ","750 Metre ve Üzeri","0",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
722,Mon Amour Alaçatı,"7.347,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12840/1050X700/tsr12840638089577732959989.jpg,"","7000-9000",Çeşme - Alaçatı ,"85 km, Adnan Menderes ","750 Metre ve Üzeri","0",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Monreve Alaçatı,"26.700,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13172/1050X700/tsr13172638209780562279741.jpg,"","25000-27000",Çeşme - Alaçatı ,"68 km, Adnan Menderes ",No Info,"0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,Mg Club Akman Beach,"18.931,20 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13865/1050X700/tsr13865638473104471648799.jpg,"","17000-19000",Antalya - Kemer ,"No Info km, No Info",No Info,Halk Plajı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
