otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
Adalya Elite Lara,25799.5,10,50.0,1.0,5,1,1,1,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Lara-Kundu 
Adalya Ocean Deluxe,30432.7,65,0.0,0.0,3,1,1,1,1,1,1,3,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Evrenseki 
Adam Eve,39150.0,35,0.0,1.0,7,1,1,1,5,1,1,7,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,Antalya , Belek-İskele 
Alaiye Resort Spa,16875.0,105,50.0,0.0,3,1,3,2,4,1,0,6,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Türkler 
Alarcha Hotels Resorts,16907.5,100,0.0,0.0,2,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Örenşehir 
Aletris Deluxe Hotel Spa,28209.6,45,600.0,0.0,3,1,1,4,2,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,Antalya , Side-Çolaklı 
Aqı Pegasos Royal,18662.9,95,0.0,1.0,3,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,Antalya , Alanya-İncekum 
Aydınbey Famous Resort Hotel,20586.0,40,0.0,0.0,1,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,Antalya , Belek-Boğazkent 
Aydınbey Gold Dreams Hotel,21900.0,110,,0.0,1,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,Antalya , Alanya-Türkler 
Aydınbey Queen`s Palace Hotel,35040.0,20,750.0,0.0,2,1,1,1,2,1,1,4,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,Antalya , Belek-Kadriye 
Blue Waters Club,29776.5,65,0.0,1.0,0,1,2,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Sorgun 
Boyalık Beach Hotel Spa Thermal Resort,21037.5,90,0.0,1.0,0,1,1,1,2,2,1,2,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,Çeşme , Boyalık 
Club Hotel Sera,25882.5,9,0.0,1.0,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Lara-Örnekköy 
Club Paradiso,13230.0,130,750.0,0.0,2,1,1,1,3,1,1,8,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Alanya-Kestel 
Club Side Coast Hotel,15300.0,60,300.0,0.0,2,0,1,1,2,1,0,4,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Commodore Elite Suites Spa,40505.4,55,0.0,0.0,2,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,Antalya , Side-Evrenseki 
Cornelia De Luxe Resort,38025.0,35,0.0,1.0,5,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,Antalya , Belek-Serik 
Crystal De Luxe Resort Spa,21840.0,56,50.0,1.0,3,1,3,4,3,2,1,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Kemer-Merkez 
Crystal Family Resort Spa,25875.0,40,0.0,0.0,6,1,5,2,5,2,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,Antalya , Belek-Boğazkent 
Crystal Palace Luxury Resort Spa,25935.0,55,0.0,0.0,5,1,4,4,2,1,1,10,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Crystal Sunset Luxury,14399.2,60,750.0,0.0,6,1,1,1,4,2,1,13,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Side-Kumköy 
Çenger Beach Resort Spa,24949.2,90,100.0,0.0,2,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,Antalya , Side-Kızılot 
Doria Hotel Bodrum,16320.0,38,750.0,1.0,1,0,1,1,2,1,0,2,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,Bodrum , Bitez 
Ela Excellence Resort Belek,24675.8,35,0.0,1.0,7,1,8,4,1,1,1,10,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Belek-İskele 
Hotel Grand Kaptan,16198.6,131,,1.0,1,1,1,1,2,0,1,5,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Alanya-Obagöl 
Hotel Terrace Beach Resort,23625.0,60,0.0,0.0,2,1,1,1,1,1,1,3,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Kumköy 
Kirman Sidemarin Beach Spa,23625.0,60,0.0,1.0,4,1,1,1,1,1,0,8,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,Antalya , Side 
Laguna Beach Alya Resort Spa,18809.8,90,100.0,0.0,1,0,1,1,4,0,0,4,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,Antalya , Alanya-Okurcalar 
Limak Atlantis Deluxe Hotel Resort,32076.0,35,0.0,1.0,5,1,1,1,5,1,1,4,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,Antalya , Belek-İleribaşı 
Limak Lara Deluxe Hotel Resort,31752.0,13,0.0,1.0,4,1,1,1,3,1,1,8,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,Antalya , Lara-Kundu 
Limak Limra Hotel Resort,29484.0,75,0.0,1.0,5,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,Antalya , Kemer-Kiriş 
Lrs Lake River Side Hotel Spa,21265.9,65,750.0,0.0,3,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,Antalya , Side-Titreyengöl 
Lrs Port River Hotel Spa,20674.0,65,200.0,0.0,2,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,Antalya , Side-Titreyengöl 
Luna Blanca Resort Spa,22499.9,65,200.0,0.0,2,1,1,1,2,1,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,Antalya , Side-Kumköy 
Lykia World Antalya,23085.0,50,0.0,1.0,5,1,1,1,6,2,1,5,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,Antalya , Belek-Boğazkent 
